Q12396	accession	organism	kingdom	protein_length	cleavage_position	tm_helix_first_90
Q27972	Q27972	Bos taurus	Metazoa	361	24.0	
O64411	O64411	Zea mays	Plants	500	28.0	
O76537	O76537	Trichoplusia ni	Metazoa	182	16.0	
P04706	P04706	Zea mays	Plants	223	19.0	
Q9GZX6	Q9GZX6	Homo sapiens	Metazoa	179	33.0	
P09791	P09791	Trypanosoma brucei brucei	Other	129	27.0	
O95813	O95813	Homo sapiens	Metazoa	267	17.0	
P14214	P14214	Tachypleus tridentatus	Metazoa	77	23.0	
P34170	P34170	Bombyx mori	Metazoa	160	20.0	
Q4WZ11	Q4WZ11	Aspergillus fumigatus (strain ATCC MYA-4609 / CBS 101355 / FGSC A1100 / Af293)	Fungi	87	19.0	
P40259	P40259	Homo sapiens	Metazoa	229	28.0	
Q05928	Q05928	Mus musculus	Metazoa	177	31.0	
Q25255	Q25255	Lucilia cuprina	Metazoa	356	23.0	
I6S7I0	I6S7I0	Scolopendra mutilans	Metazoa	64	18.0	
P05164	P05164	Homo sapiens	Metazoa	745	48.0	
P55955	P55955	Caenorhabditis elegans	Metazoa	132	19.0	
P25033	P25033	Hyalophora cecropia	Metazoa	413	19.0	
Q6QX33	Q6QX33	Bothrops insularis	Metazoa	158	23.0	
Q12127	Q12127	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	133	18.0	
Q13445	Q13445	Homo sapiens	Metazoa	227	23.0	
P03998	P03998	Limulus polyphemus	Metazoa	195	20.0	
Q07092	Q07092	Homo sapiens	Metazoa	1604	21.0	
P81264	P81264	Bos taurus	Metazoa	98	22.0	
P01177	P01177	Sus scrofa	Metazoa	125	19.0	
Q95460	Q95460	Homo sapiens	Metazoa	341	22.0	
P17697	P17697	Bos taurus	Metazoa	439	19.0	
Q6UX27	Q6UX27	Homo sapiens	Metazoa	236	16.0	
Q9H5V8	Q9H5V8	Homo sapiens	Metazoa	836	29.0	
Q12546	Q12546	Aspergillus ficuum	Fungi	614	22.0	
P33559	P33559	Aspergillus kawachii (strain NBRC 4308)	Fungi	327	25.0	
P19667	P19667	Molineria latifolia	Plants	158	22.0	
P43121	P43121	Homo sapiens	Metazoa	646	23.0	
Q6T6C1	Q6T6C1	Theromyzon tessulatum	Metazoa	107	21.0	
Q9NR61	Q9NR61	Homo sapiens	Metazoa	685	26.0	
P17301	P17301	Homo sapiens	Metazoa	1181	29.0	
I6S7G5	I6S7G5	Scolopendra mutilans	Metazoa	84	16.0	
Q7KRU8	Q7KRU8	Drosophila melanogaster	Metazoa	205	19.0	
A0A0R4I951	A0A0R4I951	Scolopendra dehaani	Metazoa	70	23.0	
Q9HBE5	Q9HBE5	Homo sapiens	Metazoa	538	19.0	
Q8T9R8	Q8T9R8	Stomoxys calcitrans	Metazoa	67	24.0	
P25116	P25116	Homo sapiens	Metazoa	425	21.0	
Q8I817	Q8I817	Aplysia californica	Metazoa	88	19.0	
Q29422	Q29422	Ovis aries	Metazoa	333	20.0	
P16235	P16235	Rattus norvegicus	Metazoa	700	26.0	
P0DUQ6	P0DUQ6	Conus planorbis	Metazoa	70	21.0	
Q02596	Q02596	Mus musculus	Metazoa	151	19.0	
P05533	P05533	Mus musculus	Metazoa	134	26.0	
P46165	P46165	Bos taurus	Metazoa	62	22.0	
Q05091	Q05091	Pyrus communis	Plants	330	24.0	
Q75N35	Q75N35	Dioscorea polystachya	Plants	272	25.0	
A6XMY0	A6XMY0	Hyas araneus	Metazoa	64	25.0	
P13725	P13725	Homo sapiens	Metazoa	252	25.0	
P35053	P35053	Rattus norvegicus	Metazoa	558	23.0	
Q94733	Q94733	Rhodnius prolixus	Metazoa	202	23.0	
Q0IQK9	Q0IQK9	Oryza sativa subsp. japonica	Plants	116	25.0	
P35777	P35777	Solenopsis invicta	Metazoa	137	19.0	
Q2ULM2	Q2ULM2	Aspergillus oryzae (strain ATCC 42149 / RIB 40)	Fungi	496	16.0	
A0A023W145	A0A023W145	Ethmostigmus rubripes	Metazoa	88	24.0	
P27773	P27773	Mus musculus	Metazoa	505	24.0	
O95866	O95866	Homo sapiens	Metazoa	241	17.0	
Q9NPG1	Q9NPG1	Homo sapiens	Metazoa	666	22.0	
P12992	P12992	Heliothis virescens	Metazoa	564	19.0	
Q8MVA6	Q8MVA6	Ixodes scapularis	Metazoa	69	23.0	
P62520	P62520	Chilobrachys guangxiensis	Metazoa	63	27.0	
Q8WMP9	Q8WMP9	Bos taurus	Metazoa	407	29.0	
Q9ZWA9	Q9ZWA9	Arabidopsis thaliana	Plants	451	25.0	
P15358	P15358	Haementeria officinalis	Metazoa	136	17.0	
P32802	P32802	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	667	22.0	
A0A2I8B346	A0A2I8B346	Paralithodes camtschaticus	Metazoa	62	23.0	
Q8TCT8	Q8TCT8	Homo sapiens	Metazoa	520	25.0	
P48765	P48765	Bos taurus	Metazoa	970	32.0	
Q8T0Y7	Q8T0Y7	Aplysia californica	Metazoa	141	26.0	
Q8MP06	Q8MP06	Tyria jacobaeae	Metazoa	456	22.0	
P56201	P56201	Oryctolagus cuniculus	Metazoa	797	24.0	
A0A0F7YYX3	A0A0F7YYX3	Conus victoriae	Metazoa	196	25.0	
Q02083	Q02083	Homo sapiens	Metazoa	359	28.0	
G8YYA6	G8YYA6	Androctonus amoreuxi	Metazoa	74	22.0	
Q27082	Q27082	Tachypleus tridentatus	Metazoa	673	19.0	
G9M8X1	G9M8X1	Nephotettix cincticeps	Metazoa	687	19.0	
P36511	P36511	Rattus norvegicus	Metazoa	530	23.0	
B0XT72	B0XT72	Aspergillus fumigatus (strain CBS 144.89 / FGSC A1163 / CEA10)	Fungi	452	19.0	
P07602	P07602	Homo sapiens	Metazoa	524	16.0	
Q5JNJ5	Q5JNJ5	Oryza sativa subsp. japonica	Plants	237	28.0	
Q5D710	Q5D710	Scylla serrata	Metazoa	126	24.0	
Q8WWA0	Q8WWA0	Homo sapiens	Metazoa	313	18.0	
Q92765	Q92765	Homo sapiens	Metazoa	325	32.0	
Q9NRC9	Q9NRC9	Homo sapiens	Metazoa	128	17.0	
P19035	P19035	Bos taurus	Metazoa	96	23.0	
Q92956	Q92956	Homo sapiens	Metazoa	283	38.0	
P84843	P84843	Hybomitra bimaculata	Metazoa	76	20.0	
Q9GV28	Q9GV28	Bombyx mori	Metazoa	433	16.0	
P85261	P85261	Actinidia chinensis var. chinensis	Plants	213	24.0	
P09230	P09230	Yarrowia lipolytica (strain CLIB 122 / E 150)	Fungi	454	15.0	
P67875	P67875	Aspergillus fumigatus (strain ATCC MYA-4609 / CBS 101355 / FGSC A1100 / Af293)	Fungi	176	27.0	
P02774	P02774	Homo sapiens	Metazoa	474	16.0	
Q02795	Q02795	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	286	19.0	
B0CPC6	B0CPC6	Laccaria bicolor (strain S238N-H82 / ATCC MYA-4686)	Fungi	206	21.0	
Q9Y5Q6	Q9Y5Q6	Homo sapiens	Metazoa	135	22.0	
Q6UW56	Q6UW56	Homo sapiens	Metazoa	229	30.0	
Q15465	Q15465	Homo sapiens	Metazoa	462	23.0	
O02839	O02839	Sus scrofa	Metazoa	363	44.0	
Q4W1I9	Q4W1I9	Zinnia elegans	Plants	321	30.0	
P24259	P24259	Sus scrofa	Metazoa	150	24.0	
P41271	P41271	Homo sapiens	Metazoa	181	16.0	
P49256	P49256	Canis lupus familiaris	Metazoa	356	44.0	
Q6IUU3	Q6IUU3	Rattus norvegicus	Metazoa	750	32.0	
A9UGV5	A9UGV5	Oryza sativa subsp. japonica	Plants	68	30.0	
P05067	P05067	Homo sapiens	Metazoa	770	17.0	
P34115	P34115	Dictyostelium discoideum	Other	730	20.0	
P30919	P30919	Rattus norvegicus	Metazoa	345	23.0	
P15467	P15467	Bos taurus	Metazoa	147	28.0	
Q9Z0K8	Q9Z0K8	Mus musculus	Metazoa	512	23.0	
Q8NBI3	Q8NBI3	Homo sapiens	Metazoa	349	25.0	
Q96LA5	Q96LA5	Homo sapiens	Metazoa	508	19.0	
Q84V39	Q84V39	Olea europaea	Plants	123	21.0	
Q02747	Q02747	Homo sapiens	Metazoa	115	21.0	
P53366	P53366	Sus scrofa	Metazoa	188	21.0	
Q9NPR2	Q9NPR2	Homo sapiens	Metazoa	837	43.0	
Q945U0	Q945U0	Phytophthora sojae	Other	257	28.0	
Q8WP90	Q8WP90	Solenopsis invicta	Metazoa	153	19.0	
P0DL40	P0DL40	Vespa magnifica	Metazoa	67	21.0	
P02659	P02659	Gallus gallus	Metazoa	106	24.0	
P55057	P55057	Oryctolagus cuniculus	Metazoa	124	27.0	
P24821	P24821	Homo sapiens	Metazoa	2201	22.0	
Q8HYA9	Q8HYA9	Sus scrofa	Metazoa	185	20.0	
P20774	P20774	Homo sapiens	Metazoa	298	20.0	
Q96X54	Q96X54	Aspergillus awamori	Fungi	628	25.0	
P18510	P18510	Homo sapiens	Metazoa	177	25.0	
P07994	P07994	Bos taurus	Metazoa	360	17.0	
Q96BY9	Q96BY9	Homo sapiens	Metazoa	339	30.0	
E0X9F6	E0X9F6	Thaumetopoea pityocampa	Metazoa	126	18.0	
P0C1X6	P0C1X6	Tityus discrepans	Metazoa	62	26.0	
P16382	P16382	Mus musculus	Metazoa	810	25.0	
Q8BSU2	Q8BSU2	Mus musculus	Metazoa	246	26.0	
P12820	P12820	Bos taurus	Metazoa	1306	28.0	
Q8GT41	Q8GT41	Platanus acerifolia	Plants	179	23.0	
Q6UWI2	Q6UWI2	Homo sapiens	Metazoa	310	20.0	
P16882	P16882	Mus musculus	Metazoa	650	24.0	
Q03405	Q03405	Homo sapiens	Metazoa	335	22.0	
P12273	P12273	Homo sapiens	Metazoa	146	28.0	
Q8NI17	Q8NI17	Homo sapiens	Metazoa	732	19.0	
Q13145	Q13145	Homo sapiens	Metazoa	260	20.0	
P49125	P49125	Latrodectus tredecimguttatus	Metazoa	88	18.0	
Q9C5S0	Q9C5S0	Arabidopsis thaliana	Plants	191	20.0	
O59896	O59896	Pycnoporus cinnabarinus	Fungi	518	21.0	
Q86SC0	Q86SC0	Oryctes rhinoceros	Metazoa	66	26.0	
P51688	P51688	Homo sapiens	Metazoa	502	20.0	
Q99MA2	Q99MA2	Rattus norvegicus	Metazoa	674	22.0	
O15455	O15455	Homo sapiens	Metazoa	904	23.0	
Q16552	Q16552	Homo sapiens	Metazoa	155	23.0	
Q86LE5	Q86LE5	Rhipicephalus microplus	Metazoa	110	20.0	
Q8NBP7	Q8NBP7	Homo sapiens	Metazoa	692	30.0	
Q9C9G4	Q9C9G4	Arabidopsis thaliana	Plants	290	27.0	
Q8N6C8	Q8N6C8	Homo sapiens	Metazoa	439	23.0	
P08505	P08505	Mus musculus	Metazoa	211	24.0	
P10762	P10762	Locusta migratoria	Metazoa	179	16.0	
C7G3K3	C7G3K3	Liocheles australasiae	Metazoa	80	21.0	
Q9R1T7	Q9R1T7	Rattus norvegicus	Metazoa	200	20.0	
P29060	P29060	Nicotiana tabacum	Plants	291	22.0	
Q9UK23	Q9UK23	Homo sapiens	Metazoa	515	25.0	
Q05895	Q05895	Mus musculus	Metazoa	956	21.0	
P67970	P67970	Gallus gallus	Metazoa	107	24.0	
P55000	P55000	Homo sapiens	Metazoa	103	22.0	
Q3L1D1	Q3L1D1	Agaricus bisporus	Fungi	594	25.0	
Q96FE7	Q96FE7	Homo sapiens	Metazoa	263	21.0	
P97535	P97535	Rattus norvegicus	Metazoa	456	24.0	
O60602	O60602	Homo sapiens	Metazoa	858	20.0	
Q8T0W8	Q8T0W8	Gastrophysa atrocyanea	Metazoa	65	24.0	
P00651	P00651	Aspergillus oryzae (strain ATCC 42149 / RIB 40)	Fungi	130	26.0	
P42098	P42098	Sus scrofa	Metazoa	421	22.0	
P02701	P02701	Gallus gallus	Metazoa	152	24.0	
Q7Z5A7	Q7Z5A7	Homo sapiens	Metazoa	132	43.0	
P06681	P06681	Homo sapiens	Metazoa	752	20.0	
Q8T0W1	Q8T0W1	Pimpla hypochondriaca	Metazoa	115	22.0	
A4LAR6	A4LAR6	Grifola frondosa	Fungi	107	24.0	
P10619	P10619	Homo sapiens	Metazoa	480	28.0	
Q06K77	Q06K77	Phlebotomus duboscqi	Metazoa	336	21.0	
P47001	P47001	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	227	21.0	
Q1HAY7	Q1HAY7	Holotrichia diomphalia	Metazoa	317	23.0	
P63153	P63153	Sus scrofa	Metazoa	146	23.0	
P80356	P80356	Avena sativa	Plants	220	19.0	
O46162	O46162	Schistocerca gregaria	Metazoa	92	19.0	
Q9U943	Q9U943	Locusta migratoria	Metazoa	3380	21.0	
B0FHH8	B0FHH8	Manduca sexta	Metazoa	151	18.0	
P59665	P59665	Homo sapiens	Metazoa	94	19.0	
P15261	P15261	Mus musculus	Metazoa	477	25.0	
P42705	P42705	Canis lupus familiaris	Metazoa	352	23.0	
Q7M3V1	Q7M3V1	Chelonus sp. nr. curvimaculatus	Metazoa	246	20.0	
Q6UWV2	Q6UWV2	Homo sapiens	Metazoa	235	31.0	
P09619	P09619	Homo sapiens	Metazoa	1106	32.0	
Q7Z0T3	Q7Z0T3	Aplysia californica	Metazoa	125	22.0	
P05186	P05186	Homo sapiens	Metazoa	524	17.0	
P48747	P48747	Oryctolagus cuniculus	Metazoa	557	21.0	
Q99MG7	Q99MG7	Mesocricetus auratus	Metazoa	172	16.0	
P12314	P12314	Homo sapiens	Metazoa	374	15.0	
P15018	P15018	Homo sapiens	Metazoa	202	22.0	
O76076	O76076	Homo sapiens	Metazoa	250	23.0	
P20068	P20068	Rattus norvegicus	Metazoa	169	22.0	
P22388	P22388	Rattus norvegicus	Metazoa	202	25.0	
P04552	P04552	Haliotis rufescens	Metazoa	154	18.0	
P04275	P04275	Homo sapiens	Metazoa	2813	22.0	
P55774	P55774	Homo sapiens	Metazoa	89	20.0	
Q8T0W3	Q8T0W3	Pimpla hypochondriaca	Metazoa	63	25.0	
O08795	O08795	Mus musculus	Metazoa	521	14.0	
P18658	P18658	Macaca fascicularis	Metazoa	101	22.0	
O14786	O14786	Homo sapiens	Metazoa	923	21.0	
Q9UKY0	Q9UKY0	Homo sapiens	Metazoa	176	25.0	
P0CX78	P0CX78	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	362	25.0	
Q9BX93	Q9BX93	Homo sapiens	Metazoa	195	19.0	
P68248	P68248	Gallus gallus	Metazoa	80	25.0	
Q10E50	Q10E50	Oryza sativa subsp. japonica	Plants	163	43.0	
Q9LRC8	Q9LRC8	Scutellaria baicalensis	Plants	527	25.0	
P58154	P58154	Lymnaea stagnalis	Metazoa	229	19.0	
Q6UW10	Q6UW10	Homo sapiens	Metazoa	78	19.0	
P06865	P06865	Homo sapiens	Metazoa	529	22.0	
O70280	O70280	Rattus norvegicus	Metazoa	212	26.0	
Q59XX2	Q59XX2	Candida albicans (strain SC5314 / ATCC MYA-2876)	Fungi	378	32.0	
Q8MJV4	Q8MJV4	Bos taurus	Metazoa	122	24.0	
P20333	P20333	Homo sapiens	Metazoa	461	22.0	
Q70SU7	Q70SU7	Salvelinus alpinus	Metazoa	342	19.0	
Q6UWL6	Q6UWL6	Homo sapiens	Metazoa	708	20.0	
L8BRS3	L8BRS3	Morus alba	Plants	209	18.0	
Q8TC27	Q8TC27	Homo sapiens	Metazoa	787	16.0	
P28088	P28088	Bos taurus	Metazoa	441	26.0	
P45590	P45590	Hyalophora cecropia	Metazoa	129	17.0	
Q9U8X3	Q9U8X3	Tachypleus tridentatus	Metazoa	67	23.0	
Q8WML4	Q8WML4	Bos taurus	Metazoa	580	22.0	
Q61508	Q61508	Mus musculus	Metazoa	559	19.0	
Q9NTU7	Q9NTU7	Homo sapiens	Metazoa	201	27.0	
Q01151	Q01151	Homo sapiens	Metazoa	205	19.0	
P07141	P07141	Mus musculus	Metazoa	552	32.0	
Q9NAX4	Q9NAX4	Dictyostelium discoideum	Other	464	17.0	
A0A0F7YZQ7	A0A0F7YZQ7	Conus victoriae	Metazoa	100	24.0	
P02780	P02780	Rattus norvegicus	Metazoa	95	18.0	
P82103	P82103	Mytilus galloprovincialis	Metazoa	96	20.0	
P60568	P60568	Homo sapiens	Metazoa	153	20.0	
O95711	O95711	Homo sapiens	Metazoa	162	20.0	
Q8I7X1	Q8I7X1	Porcellio scaber	Metazoa	145	21.0	
P82358	P82358	Acanthoscurria gomesiana	Metazoa	84	23.0	
P07359	P07359	Homo sapiens	Metazoa	652	16.0	
D3Z9M3	D3Z9M3	Rattus norvegicus	Metazoa	109	16.0	
Q6Z232	Q6Z232	Oryza sativa subsp. japonica	Plants	146	42.0	
Q55U20	Q55U20	Cryptococcus deneoformans (strain B-3501A)	Fungi	458	51.0	
O01949	O01949	Aedes aegypti	Metazoa	273	19.0	
P81999	P81999	Canis lupus familiaris	Metazoa	358	22.0	
Q29381	Q29381	Sus scrofa	Metazoa	439	25.0	
P14925	P14925	Rattus norvegicus	Metazoa	976	25.0	
P01076	P01076	Solanum lycopersicum	Plants	77	32.0	
P05113	P05113	Homo sapiens	Metazoa	134	19.0	
P21956	P21956	Mus musculus	Metazoa	463	22.0	
Q8TD06	Q8TD06	Homo sapiens	Metazoa	166	21.0	
P01048	P01048	Rattus norvegicus	Metazoa	430	18.0	
P81827	P81827	Rattus norvegicus	Metazoa	101	21.0	
Q15582	Q15582	Homo sapiens	Metazoa	683	23.0	
P10124	P10124	Homo sapiens	Metazoa	158	27.0	
O62644	O62644	Bos taurus	Metazoa	151	18.0	
Q8TDQ1	Q8TDQ1	Homo sapiens	Metazoa	290	19.0	
H6U1I8	H6U1I8	Tanacetum cinerariifolium	Plants	365	27.0	
Q7ZZN8	Q7ZZN8	Naja atra	Metazoa	238	19.0	
O96910	O96910	Aplysia californica	Metazoa	76	18.0	
P28825	P28825	Mus musculus	Metazoa	747	20.0	
C0HLA0	C0HLA0	Chamaecyparis obtusa	Plants	556	28.0	
P0DUT0	P0DUT0	Doratifera vulnerans	Metazoa	46	19.0	
P98066	P98066	Homo sapiens	Metazoa	277	17.0	
O02380	O02380	Tyrophagus putrescentiae	Metazoa	141	15.0	
Q9Y279	Q9Y279	Homo sapiens	Metazoa	399	19.0	
Q07654	Q07654	Homo sapiens	Metazoa	80	21.0	
P08514	P08514	Homo sapiens	Metazoa	1039	31.0	
P11717	P11717	Homo sapiens	Metazoa	2491	40.0	
P16150	P16150	Homo sapiens	Metazoa	400	19.0	
Q5F0I3	Q5F0I3	Gynostemma pentaphyllum	Plants	300	23.0	
Q9NRR1	Q9NRR1	Homo sapiens	Metazoa	136	22.0	
P35331	P35331	Gallus gallus	Metazoa	1284	24.0	
P15309	P15309	Homo sapiens	Metazoa	386	32.0	
P86872	P86872	Margaritifera margaritifera	Metazoa	260	19.0	
P01174	P01174	Rattus norvegicus	Metazoa	137	19.0	
Q63345	Q63345	Rattus norvegicus	Metazoa	245	27.0	
P80686	P80686	Tenebrio molitor	Metazoa	211	16.0	
Q15399	Q15399	Homo sapiens	Metazoa	786	24.0	
Q63415	Q63415	Rattus norvegicus	Metazoa	937	45.0	
A0A5C2A2T2	A0A5C2A2T2	Conus purpurascens	Metazoa	178	24.0	
Q9V496	Q9V496	Drosophila melanogaster	Metazoa	3351	25.0	
P83472	P83472	Lumbricus terrestris	Metazoa	86	22.0	
Q7SZI7	Q7SZI7	Xenopus laevis	Metazoa	1219	22.0	
P20507	P20507	Chlamydomonas reinhardtii	Plants	377	20.0	
P16611	P16611	Sus scrofa	Metazoa	293	27.0	
P31096	P31096	Bos taurus	Metazoa	278	16.0	
P29794	P29794	Canis lupus familiaris	Metazoa	180	20.0	
P33681	P33681	Homo sapiens	Metazoa	288	34.0	
P19594	P19594	Glycine max	Plants	158	21.0	
O00105	O00105	Aspergillus niger	Fungi	564	19.0	
A7L035	A7L035	Chironex fleckeri	Metazoa	456	20.0	
P30659	P30659	Lutzomyia longipalpis	Metazoa	86	23.0	
P82290	P82290	Anopheles gambiae	Metazoa	58	23.0	
Q15768	Q15768	Homo sapiens	Metazoa	340	27.0	
Q25055	Q25055	Holotrichia diomphalia	Metazoa	104	20.0	
A7VN15	A7VN15	Protobothrops flavoviridis	Metazoa	79	19.0	
Q6J4Q1	Q6J4Q1	Apis mellifera	Metazoa	683	21.0	
Q00293	Q00293	Aspergillus tubingensis	Fungi	435	22.0	
P06332	P06332	Mus musculus	Metazoa	457	26.0	
P86798	P86798	Cupiennius salei	Metazoa	140	19.0	
O96935	O96935	Plasmodium falciparum (isolate 3D7)	Other	1085	30.0	
Q96BF3	Q96BF3	Homo sapiens	Metazoa	282	22.0	
P01591	P01591	Homo sapiens	Metazoa	159	22.0	
Q8LG54	Q8LG54	Arabidopsis thaliana	Plants	130	21.0	
Q9PVW8	Q9PVW8	Silurus asotus	Metazoa	308	23.0	
P02662	P02662	Bos taurus	Metazoa	214	15.0	
G5EC68	G5EC68	Caenorhabditis elegans	Metazoa	85	17.0	
